D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
2,2,3,128,4,adaptive,0.99505,0.9776372261124915,0.9928098400220181
2,2,3,128,3,sobol,0.9892,0.9443729075457121,0.9677737475151362
2,2,3,128,3,random,0.99065,0.9518413597733711,0.9731442335949965
2,2,3,128,3,adaptive,0.9919,0.958279680659284,0.9823224858986745
2,2,3,256,0,sobol,0.98655,0.9395641428892384,0.9648038668993703
2,2,3,256,0,random,0.9839,0.9276567063581218,0.9450377529208503
2,2,3,256,0,adaptive,0.9916,0.9622556728824984,0.981573873212804
2,2,3,256,1,sobol,0.991,0.9539170506912442,0.975657166377814
2,2,3,256,1,random,0.99045,0.9511008704557091,0.9760474605887615
2,2,3,256,1,adaptive,0.993,0.96415770609319,0.9857226970937879
2,2,3,256,2,sobol,0.98805,0.9405176704828273,0.9526013331894077
2,2,3,256,2,random,0.97765,0.8887506222000996,0.9168160292639053
2,2,3,256,2,adaptive,0.9904,0.9522150323544052,0.9773434424302361
2,2,3,256,3,sobol,0.9831,0.9129539016224568,0.9592415296459132
2,2,3,256,3,random,0.98805,0.9384496523306721,0.9490147127038017
2,2,3,256,3,adaptive,0.991,0.9536440896214268,0.9787184970293589
2,2,3,256,4,sobol,0.99075,0.9582109780889994,0.9802537381383658
2,2,3,256,4,random,0.98605,0.9369776372261125,0.964145052618756
2,2,3,256,4,adaptive,0.99415,0.9735712672238537,0.9914687292266322
2,2,3,512,0,sobol,0.9893,0.9519209166479443,0.9741076524168406
2,2,3,512,0,random,0.9876,0.944282183778926,0.9579705733582626
2,2,3,512,0,adaptive,0.9903,0.9564142889238373,0.9798428891478774
2,2,3,512,1,sobol,0.9945,0.9718381976446493,0.9905839902632204
2,2,3,512,1,random,0.9922,0.9600614439324117,0.9857626082933776
2,2,3,512,1,adaptive,0.9963,0.9810547875064004,0.9945099574839041
2,2,3,512,2,sobol,0.99385,0.9693877551020408,0.9921906585607682
2,2,3,512,2,random,0.99475,0.9738675958188153,0.9908022431790092
2,2,3,512,2,adaptive,0.99275,0.9639123942259831,0.9917021631265732
8,2,1,64,0,sobol,0.75435,0.49232736572890023,0.06424594514583457
8,2,1,64,0,random,0.7613,0.4852941176470588,0.025939214925967964
8,2,1,64,0,adaptive,0.81425,0.48305626598465473,0.05115815303996185
8,2,1,64,1,sobol,0.72465,0.4911792014856082,0.025458064986022048
8,2,1,64,1,random,0.7601,0.47818012999071496,0.011804213528452893
8,2,1,64,1,adaptive,0.8158,0.47879913339523367,0.0520089165578079
2,2,3,512,3,sobol,0.9877,0.9366469224826165,0.9653325796348966
2,2,3,512,3,random,0.98855,0.9410249806850374,0.9693744110541314
2,2,3,512,3,adaptive,0.9933,0.9654906000515066,0.9870508531899969
8,2,1,64,2,sobol,0.7722,0.5008156606851549,0.07810050687714655
8,2,1,64,2,random,0.7852,0.49951060358890703,0.05632854968934479
8,2,1,64,2,adaptive,0.8025,0.4900489396411093,0.062159382697651075
